EB Cry ( 0 events) was calibrated to avg: -43, 328, hash: 15447	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -43, 329, hash: 15448	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -43, 330, hash: 15449	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -42, 326, hash: 15805	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -42, 327, hash: 15806	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -42, 328, hash: 15807	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -42, 329, hash: 15808	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -42, 330, hash: 15809	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -41, 163, hash: 16002	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -41, 326, hash: 16165	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -41, 327, hash: 16166	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -41, 328, hash: 16167	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -41, 329, hash: 16168	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -41, 330, hash: 16169	 Calib: -1	 Error: -1
EB Cry ( 1 events) was calibrated to avg: -40, 11, hash: 16210	 Calib: -2.03088	 Error: 1
EB Cry ( 0 events) was calibrated to avg: -38, 188, hash: 17107	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -38, 336, hash: 17255	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -34, 65, hash: 18424	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -34, 121, hash: 18480	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -30, 241, hash: 20040	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -30, 245, hash: 20044	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -30, 311, hash: 20110	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -28, 86, hash: 20605	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -27, 134, hash: 21013	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -25, 141, hash: 21740	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -25, 259, hash: 21858	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -24, 127, hash: 22086	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -24, 180, hash: 22139	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -23, 101, hash: 22420	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -23, 141, hash: 22460	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -21, 187, hash: 23226	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -21, 247, hash: 23286	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -20, 21, hash: 23420	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -20, 22, hash: 23421	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -20, 23, hash: 23422	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -20, 24, hash: 23423	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -20, 25, hash: 23424	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -19, 21, hash: 23780	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -19, 22, hash: 23781	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -19, 23, hash: 23782	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -19, 24, hash: 23783	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -19, 25, hash: 23784	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -19, 301, hash: 24060	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -18, 21, hash: 24140	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -18, 22, hash: 24141	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -18, 23, hash: 24142	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -18, 24, hash: 24143	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -18, 25, hash: 24144	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -17, 21, hash: 24500	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -17, 22, hash: 24501	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -17, 23, hash: 24502	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -17, 24, hash: 24503	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -17, 25, hash: 24504	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -17, 289, hash: 24768	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -16, 21, hash: 24860	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -16, 22, hash: 24861	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -16, 23, hash: 24862	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -16, 24, hash: 24863	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -16, 25, hash: 24864	 Calib: -1	 Error: -1
